X,Y,Z,FGrav_mgal
748151.81,6416320.50,380.31,0.147
748034.16,6416308.50,380.62,0.233
747994.06,6416313.00,380.57,0.284
747709.00,6416310.00,380.26,0.519
747416.75,6416310.00,375.74,0.359
747097.42,6416315.50,374.30,-0.045
746505.27,6416295.50,374.04,-0.063
746231.09,6416299.00,372.88,-0.060
745630.58,6416298.50,369.59,-0.022
745322.88,6416297.50,369.13,-0.040
745021.54,6416287.00,369.01,-0.051
748596.33,6415923.50,385.68,-0.036
747415.52,6415923.50,377.23,0.005
747100.93,6415913.00,375.17,-0.048
746808.60,6415905.50,372.43,-0.034
746493.28,6415911.50,372.30,-0.058
745912.48,6415899.50,369.16,-0.044
745620.00,6415894.50,370.11,-0.056
748748.94,6416225.00,381.10,0.029
748752.63,6416201.50,381.66,0.007
748752.94,6416177.00,382.22,-0.027
748763.69,6416135.00,381.88,-0.016
748774.00,6416103.50,381.55,-0.028
748770.81,6416067.50,381.55,-0.039
748777.38,6416034.00,381.55,-0.061
748787.81,6416019.00,381.55,-0.067
748798.00,6415992.00,382.60,-0.096
748802.25,6415971.00,383.64,-0.085
748803.38,6415933.00,385.26,-0.079
748791.06,6415903.00,384.63,-0.062
748798.44,6415879.00,384.00,-0.053
748801.88,6415830.00,385.44,-0.042
748796.00,6415805.50,386.89,-0.022
748818.06,6415752.50,388.33,-0.005
749258.94,6416048.00,388.64,-0.012
749252.69,6416081.00,388.48,-0.012
749251.44,6416113.00,388.32,-0.044
749246.19,6416144.00,388.15,-0.001
749246.31,6416180.00,387.16,-0.025
749237.50,6416204.00,386.17,-0.051
749234.88,6416232.00,385.18,-0.063
749242.50,6416275.00,386.48,-0.050
749241.13,6416309.00,388.03,-0.039
749248.00,6416339.00,388.06,-0.026
749244.75,6416399.50,388.11,0.010
745575.26,6415320.00,369.26,-0.064
745578.28,6415446.00,369.22,-0.072
745577.91,6415565.00,369.17,-0.085
745582.43,6415644.00,369.14,-0.048
745584.81,6415728.50,369.34,-0.045
749293.31,6416420.00,387.59,-0.002
749256.38,6416419.00,386.99,0.013
749209.88,6416400.00,386.39,0.030
749181.25,6416388.00,385.80,0.002
749144.81,6416375.50,385.20,-0.011
749108.25,6416357.50,384.61,-0.007
749081.44,6416341.50,384.50,0.005
749024.81,6416307.50,384.29,0.013
749006.50,6416298.00,384.19,0.039
748943.94,6416291.00,383.75,-0.001
748922.19,6416279.00,383.32,-0.004
748885.31,6416270.00,382.89,-0.009
748855.06,6416276.50,382.46,0.022
748815.13,6416252.00,382.03,0.052
748776.50,6416252.00,381.60,0.029
748748.06,6416242.50,381.17,0.029
748708.00,6416235.00,380.74,0.041
748675.88,6416222.50,380.30,0.007
748624.06,6416226.50,379.87,0.023
748608.94,6416203.50,380.44,0.043
748569.88,6416191.00,381.01,0.011
748543.25,6416176.50,381.58,0.008
748498.38,6416185.00,382.15,0.024
748469.56,6416170.00,382.72,0.029
748432.81,6416150.50,383.29,0.010
748393.94,6416136.00,383.86,0.029
748362.94,6416134.00,384.43,-0.008
748332.31,6416121.50,385.00,-0.058
748294.25,6416118.50,384.62,-0.048
748258.13,6416124.50,384.25,-0.033
748215.31,6416125.00,383.87,-0.028
748185.13,6416121.00,383.50,-0.050
748140.31,6416114.50,383.12,0.023
749227.47,6417521.00,386.80,0.191
748648.04,6417515.00,382.11,0.293
747721.37,6417509.50,377.31,0.694
747122.62,6417513.00,375.92,0.838
746554.39,6417498.50,381.68,0.564
746240.61,6417503.00,382.92,0.069
745646.34,6417496.00,380.02,0.018
745620.63,6417088.50,375.61,-0.037
746526.95,6417104.50,377.86,0.812
748911.52,6416723.50,382.45,0.099
748619.35,6416718.00,380.00,0.428
748312.17,6416712.00,379.05,0.430
748037.37,6416722.00,378.74,0.191
747730.39,6416714.00,379.73,0.078
747414.03,6416708.50,378.52,0.034
747122.46,6416714.00,375.11,0.128
746803.34,6416705.00,375.64,0.393
746220.03,6416696.00,379.73,-0.044
748940.82,6417119.50,385.08,0.184
748348.54,6417118.50,379.62,0.217
748311.75,6417107.00,379.50,0.208
748013.59,6417108.50,379.61,0.255
747412.32,6417119.50,374.92,0.492
749277.38,6416266.50,386.27,-0.022
749172.81,6416273.50,385.56,-0.012
749148.63,6416290.50,385.35,-0.013
749112.50,6416285.50,385.13,-0.036
748313.75,6417526.50,380.00,0.396
748326.44,6417490.00,379.78,0.387
748335.56,6417471.00,379.57,0.385
748371.81,6417444.50,379.35,0.350
748388.00,6417422.50,379.13,0.333
748392.19,6417378.00,379.26,0.278
748386.75,6417356.50,379.38,0.288
748402.75,6417320.00,379.50,0.272
748398.56,6417278.00,379.63,0.292
748411.38,6417260.00,379.70,0.274
748405.25,6417211.00,379.78,0.228
748411.75,6417181.50,379.86,0.210
748426.81,6417149.00,379.94,0.217
748429.81,6417122.00,379.68,0.224
748445.06,6417057.50,379.16,0.242
748441.50,6417038.50,378.90,0.256
748463.88,6416999.00,378.81,0.331
748469.63,6416975.00,378.71,0.329
748479.19,6416954.50,378.62,0.334
748491.06,6416905.50,378.52,0.426
748492.69,6416885.00,378.69,0.443
748504.31,6416861.00,378.85,0.420
748508.19,6416828.00,379.02,0.439
748518.00,6416788.50,379.44,0.448
748524.06,6416748.00,379.85,0.474
748540.75,6416732.00,379.55,0.472
748547.88,6416697.50,379.25,0.461
748546.00,6416661.50,378.95,0.442
748551.69,6416638.50,378.50,0.418
748571.31,6416607.00,378.05,0.371
748573.19,6416546.00,379.43,0.326
748580.50,6416508.50,380.12,0.330
748601.50,6416472.00,380.13,0.266
748607.50,6416443.50,380.14,0.227
748621.88,6416400.50,380.15,0.150
748646.44,6416370.00,380.02,0.116
748658.00,6416342.00,379.89,0.085
748665.88,6416277.50,379.12,0.033
748637.13,6416278.50,379.56,0.050
748605.88,6416269.00,380.00,0.056
748576.63,6416272.50,379.86,0.056
748545.50,6416276.50,379.72,0.046
748528.31,6416267.50,379.58,0.047
748502.00,6416296.50,379.63,0.099
748479.00,6416298.50,379.69,0.106
748458.31,6416325.50,379.74,0.128
748433.25,6416315.50,381.10,0.099
748381.56,6416311.00,382.25,0.074
748349.13,6416326.00,382.04,0.118
748322.44,6416328.50,382.04,0.126
748299.06,6416338.50,382.04,0.129
748272.63,6416351.50,381.84,0.144
748258.00,6416377.50,381.64,0.167
748222.25,6416407.50,381.44,0.205
748198.56,6416429.00,381.24,0.276
748190.56,6416394.50,379.80,0.206
748188.50,6416364.00,379.95,0.181
748210.88,6416339.50,380.10,0.151
748180.56,6416331.00,380.19,0.162
748125.56,6416331.50,380.17,0.191
748083.63,6416357.50,380.04,0.235
748054.75,6416362.00,379.91,0.269
748017.75,6416384.00,380.23,0.325
748017.38,6416409.50,380.54,0.304
747990.44,6416426.50,380.36,0.301
747978.69,6416457.00,380.18,0.334
747959.94,6416492.00,380.00,0.334
747921.69,6416484.50,379.51,0.302
747883.44,6416491.00,379.03,0.278
747846.13,6416500.50,378.54,0.279
747840.63,6416472.00,378.50,0.301
747822.00,6416424.00,378.46,0.395
747801.00,6416432.00,377.98,0.412
747767.75,6416447.00,377.50,0.385
747738.94,6416470.00,377.01,0.310
747719.25,6416470.50,376.53,0.332
747678.00,6416480.00,377.09,0.321
747649.69,6416497.50,377.65,0.255
747620.56,6416485.50,377.33,0.295
747583.50,6416489.00,377.01,0.304
747553.25,6416476.00,376.69,0.307
747525.75,6416469.50,376.38,0.302
747493.13,6416470.00,375.80,0.271
747468.00,6416471.50,375.22,0.220
747436.25,6416479.50,374.64,0.225
747419.19,6416500.00,375.00,0.154
747461.75,6416524.50,375.51,0.158
747481.25,6416558.00,376.01,0.114
747506.19,6416570.00,376.52,0.092
747530.13,6416603.00,377.70,0.058
747549.00,6416620.00,378.87,0.078
747577.00,6416625.00,378.50,0.102
747609.94,6416623.00,378.14,0.116
747632.75,6416623.50,377.77,0.116
747667.56,6416630.50,377.64,0.099
747715.50,6416656.00,378.39,0.026
747741.94,6416631.50,379.06,0.092
747780.88,6416602.50,379.72,0.130
747799.38,6416585.50,380.39,0.142
747831.50,6416590.50,379.60,0.141
747872.00,6416595.00,378.81,0.174
747886.31,6416630.50,378.71,0.130
747915.81,6416621.50,378.38,0.183
747952.63,6416615.00,378.06,0.140
747921.69,6416641.50,378.95,0.153
747910.88,6416668.00,379.84,0.116
747884.75,6416733.00,379.48,0.084
747886.50,6416757.00,379.29,0.075
747887.69,6416779.50,379.26,0.071
747925.69,6416787.00,379.22,0.101
747947.00,6416799.50,379.19,0.118
747961.69,6416824.00,380.03,0.135
747991.50,6416845.50,380.87,0.129
747994.63,6416874.00,381.06,0.123
747997.25,6416900.50,381.26,0.117
747969.44,6416919.00,381.48,0.120
747944.69,6416919.50,381.71,0.118
747926.81,6416933.00,381.93,0.112
747914.13,6416969.50,380.77,0.113
747902.31,6417009.00,379.62,0.189
747919.19,6417032.50,380.02,0.236
747914.94,6417050.00,380.44,0.270
747904.94,6417080.50,380.10,0.309
747900.31,6417108.50,379.75,0.327
749356.50,6418296.50,381.97,-0.004
749325.81,6418280.00,382.97,-0.007
749303.63,6418257.00,383.98,0.016
749263.38,6418237.50,384.98,-0.001
746808.44,6419164.50,385.54,-0.001
746935.31,6419063.50,385.65,0.014
747064.75,6418962.00,382.42,-0.028
747121.81,6418894.50,382.00,0.007
747237.19,6418857.00,379.79,-0.029
747431.50,6418782.00,381.00,0.017
747410.69,6418737.00,381.23,0.017
747358.00,6418703.50,380.77,0.023
747295.56,6418690.50,379.27,0.025
747446.06,6418505.50,380.75,0.086
747458.31,6418429.50,379.16,0.085
747341.75,6418367.00,379.98,0.067
747410.94,6418249.00,378.67,0.156
747627.13,6418138.50,378.20,0.274
747754.81,6418032.00,378.00,0.479
747836.75,6417959.00,379.02,0.501
747946.31,6417919.50,378.32,0.562
747992.31,6417878.00,379.58,0.579
748097.94,6417961.50,381.74,0.518
748202.94,6417934.50,380.06,0.476
748353.63,6417644.00,379.19,0.388
748318.88,6417563.00,379.79,0.397
748305.13,6417540.00,380.00,0.405
746762.44,6419225.50,386.74,0.011
746845.00,6419145.00,385.57,-0.001
746877.06,6419114.00,385.60,-0.005
746908.19,6419093.00,385.62,-0.008
746969.94,6419046.00,385.00,0.011
746984.25,6419024.00,384.36,0.010
747008.00,6418998.00,383.71,-0.017
747039.56,6418973.50,383.06,-0.032
747079.13,6418929.00,382.28,-0.018
747148.13,6418881.50,381.26,0.005
747189.38,6418858.50,380.53,-0.002
747261.44,6418827.00,379.99,-0.044
747299.19,6418825.50,380.19,-0.035
747321.94,6418813.00,380.40,-0.016
747355.81,6418808.00,380.60,-0.001
747387.94,6418786.50,380.80,0.028
747412.63,6418771.50,381.11,0.020
747380.44,6418720.00,381.00,0.050
747330.38,6418697.50,380.02,0.008
747315.94,6418655.50,379.57,0.007
747332.06,6418624.00,379.88,0.002
747387.06,6418569.50,380.11,0.051
747399.94,6418547.00,380.03,0.054
747448.94,6418471.00,379.96,0.064
747414.69,6418417.00,379.43,0.051
747384.75,6418400.50,379.70,0.045
747375.56,6418311.00,379.32,0.056
747406.75,6418283.00,379.00,0.107
747455.88,6418222.50,378.60,0.178
747499.25,6418205.00,378.47,0.202
747540.94,6418183.50,378.40,0.220
747559.56,6418165.50,378.33,0.243
747593.25,6418162.50,378.27,0.268
747661.31,6418122.00,378.16,0.285
747701.44,6418078.00,378.08,0.378
747738.88,6418064.50,378.04,0.411
747787.88,6418014.00,378.34,0.442
747810.88,6417987.00,378.68,0.464
747855.94,6417982.00,378.88,0.522
747897.19,6417970.50,378.61,0.552
747917.25,6417936.50,378.46,0.542
747965.31,6417899.00,378.95,0.573
747992.44,6417912.00,379.54,0.552
747991.00,6417949.50,379.49,0.523
748010.38,6417982.50,380.21,0.500
748052.00,6417970.50,380.98,0.511
748127.38,6417947.50,381.18,0.515
748164.75,6417948.50,380.62,0.511
748215.31,6417905.50,379.75,0.436
748216.63,6417868.50,379.45,0.410
748230.38,6417834.50,379.14,0.430
748241.44,6417801.50,378.83,0.450
748253.00,6417762.00,378.53,0.498
748280.19,6417720.50,378.72,0.468
748334.31,6417670.50,379.21,0.350
748344.94,6417612.00,379.39,0.432
748331.94,6417586.50,379.59,0.402
749007.06,6417341.50,385.55,0.230
748989.25,6417350.00,385.30,0.227
748970.38,6417369.50,385.05,0.209
748931.44,6417395.50,384.83,0.240
748887.94,6417440.50,384.00,0.270
748831.19,6417479.00,383.77,0.264
748739.94,6417528.00,382.62,0.232
748720.69,6417596.00,382.92,0.221
748698.94,6417661.50,382.58,0.166
748670.50,6417695.00,382.09,0.138
748623.88,6417742.50,381.72,0.162
748597.94,6417748.00,381.46,0.170
748561.63,6417775.50,381.58,0.195
748538.69,6417796.50,381.87,0.221
748513.38,6417847.50,381.99,0.169
748483.63,6417859.00,381.32,0.204
748480.56,6417873.50,381.07,0.210
748407.31,6417893.00,380.77,0.271
748400.13,6417876.00,381.34,0.282
748386.06,6417846.50,381.93,0.301
748355.00,6417793.00,381.57,0.333
748361.31,6417769.00,382.54,0.338
748338.19,6417717.50,380.38,0.369
748307.63,6417702.50,379.10,0.447
748949.75,6417388.00,384.94,0.231
748904.81,6417419.00,384.42,0.252
748861.88,6417466.50,383.89,0.267
748809.13,6417495.50,383.41,0.254
748732.19,6417562.00,382.77,0.230
748714.38,6417624.00,382.75,0.194
748652.75,6417724.00,381.91,0.149
748529.00,6417836.50,381.93,0.176
748429.69,6417890.50,380.97,0.247
749089.56,6416301.00,384.10,-0.008
749070.00,6416329.50,384.76,0.010
749067.63,6416367.00,384.80,0.026
749070.88,6416412.00,384.47,0.040
749069.63,6416427.50,384.44,0.041
749071.69,6416461.00,384.40,0.047
749081.25,6416482.50,385.50,0.056
749100.19,6416538.00,385.74,0.079
749096.56,6416571.50,384.87,0.062
749094.50,6416602.00,384.01,0.070
749094.69,6416630.00,384.14,0.092
749084.75,6416671.00,384.27,0.085
749078.88,6416707.00,384.40,0.042
749066.75,6416734.00,384.59,0.073
749064.69,6416762.50,384.78,0.093
749052.13,6416805.00,384.98,0.090
749036.56,6416837.50,385.17,0.084
749023.00,6416870.50,385.27,0.094
749016.00,6416901.00,385.37,0.106
748994.63,6416927.00,385.19,0.090
748979.06,6416946.50,385.01,0.099
748975.25,6416981.50,384.83,0.163
748953.88,6417011.00,384.56,0.159
748942.94,6417046.00,384.28,0.157
748930.50,6417084.50,384.01,0.180
748910.00,6417101.00,384.72,0.201
748900.25,6417128.00,385.43,0.220
748888.19,6417149.50,386.74,0.232
748885.25,6417181.00,386.98,0.254
748875.25,6417200.50,387.23,0.265
748865.63,6417236.50,387.48,0.275
748845.56,6417250.50,387.02,0.278
748826.00,6417284.50,386.56,0.271
748823.88,6417318.00,385.75,0.322
748812.50,6417347.50,384.94,0.347
748796.81,6417374.00,384.13,0.349
748784.94,6417391.00,383.32,0.348
748772.88,6417429.00,383.21,0.346
748763.63,6417472.00,383.10,0.286
748754.63,6417483.50,383.01,0.283
744684.76,6415304.50,366.10,-0.025
744982.73,6415318.50,366.10,-0.064
745305.01,6415295.00,366.41,-0.096
745890.96,6415317.50,368.32,-0.096
746182.94,6415316.50,371.85,-0.068
746501.55,6415315.50,368.75,-0.099
746802.57,6415319.50,370.64,-0.079
747079.66,6415299.00,372.56,-0.059
747381.63,6415298.00,373.08,-0.040
747680.43,6415316.00,380.27,-0.020
747993.09,6415302.00,386.43,-0.032
748288.18,6415294.00,387.48,0.008
748600.02,6415298.50,388.93,0.025
748889.54,6415318.00,392.32,0.021
749187.38,6415304.00,395.67,0.031
744703.49,6415409.50,367.53,-0.076
744991.23,6415396.50,367.14,-0.071
745313.56,6415397.50,367.80,-0.045
745900.45,6415401.00,369.06,-0.106
746199.45,6415407.50,370.98,-0.097
746489.33,6415401.50,371.00,-0.096
746805.49,6415406.50,371.85,-0.044
747075.65,6415420.50,372.18,-0.028
747407.97,6415418.00,373.81,-0.049
747699.93,6415391.00,379.46,-0.016
747999.04,6415402.50,385.70,-0.002
748307.45,6415410.50,389.35,-0.013
748596.40,6415405.00,388.56,-0.036
748906.57,6415404.00,393.24,0.034
749172.15,6415389.50,396.98,0.075
744682.28,6415502.00,365.89,-0.043
744988.09,6415496.00,365.89,-0.069
745307.97,6415499.00,366.10,-0.101
745903.98,6415512.00,370.66,-0.074
746189.70,6415520.00,373.62,-0.058
746495.76,6415517.00,370.64,-0.085
746810.47,6415505.50,373.09,-0.042
747096.08,6415511.00,373.14,-0.064
747380.28,6415492.50,374.90,-0.044
747701.19,6415504.00,379.28,0.037
747999.34,6415489.50,384.21,-0.040
748312.46,6415505.00,388.57,-0.034
748585.11,6415490.50,392.01,-0.016
748918.63,6415516.50,392.34,-0.049
749183.42,6415515.50,395.49,0.015
744697.16,6415596.00,366.79,-0.036
744988.32,6415607.00,366.79,-0.117
745297.31,6415588.00,366.71,-0.106
745896.10,6415602.50,369.46,-0.079
746204.04,6415605.50,372.02,-0.066
746501.32,6415585.50,371.31,-0.059
746800.92,6415593.50,372.39,-0.061
747106.75,6415582.00,372.91,-0.057
747401.53,6415611.50,374.87,-0.044
747698.20,6415598.00,378.05,-0.074
748003.20,6415598.00,384.71,-0.039
748304.88,6415629.00,387.81,0.006
748599.76,6415592.00,391.94,-0.037
748890.44,6415585.00,392.44,-0.039
749206.32,6415613.50,391.20,-0.009
744697.46,6415702.00,366.13,-0.085
745006.07,6415710.50,366.20,-0.123
745311.15,6415717.50,366.64,-0.059
745900.35,6415687.00,368.30,-0.117
746205.11,6415690.50,370.51,-0.017
746498.96,6415711.00,372.26,-0.047
746800.42,6415709.00,373.20,-0.026
747084.35,6415712.00,373.81,-0.016
747396.37,6415713.00,375.00,-0.025
747691.21,6415723.50,379.49,-0.088
747982.90,6415680.00,382.62,-0.045
748295.08,6415707.50,389.58,0.003
748587.77,6415698.50,392.06,-0.028
748909.31,6415710.00,392.03,-0.038
749206.27,6415698.50,390.80,-0.034
744694.36,6415790.50,369.07,-0.062
744986.63,6415819.50,368.93,-0.088
745307.88,6415810.00,369.64,-0.082
745597.57,6415788.50,370.82,-0.042
745903.92,6415809.00,369.64,-0.081
746201.43,6415809.50,370.00,-0.037
746497.78,6415814.50,371.09,-0.040
746804.66,6415802.50,373.28,-0.016
747083.42,6415815.50,372.89,-0.060
747394.10,6415805.50,374.03,-0.069
747720.21,6415798.50,380.16,-0.095
748003.46,6415805.00,383.30,-0.122
748596.90,6415817.50,389.67,-0.032
748895.95,6415801.00,387.62,-0.031
749195.37,6415803.50,388.52,-0.042
744696.83,6415895.50,368.75,-0.075
745009.27,6415920.50,368.75,-0.069
745303.58,6415920.00,368.98,-0.088
746197.86,6415921.50,371.39,-0.042
746808.94,6415907.00,371.68,-0.034
748013.20,6415920.00,382.81,-0.148
748282.34,6415917.50,387.61,-0.030
748905.24,6415900.00,387.95,-0.045
749192.52,6415911.00,389.44,-0.034
744700.56,6415997.50,368.99,-0.069
744999.51,6415998.00,368.99,-0.062
745309.40,6415992.50,368.68,-0.072
745612.23,6416006.00,369.72,-0.031
745915.07,6416001.00,369.17,-0.026
