X,Y,Z,FGrav_mgal
746219.79,6415996.50,371.08,-0.045
746505.82,6416023.00,371.88,-0.083
746819.97,6416005.50,370.77,-0.086
747110.64,6415992.00,372.80,-0.068
747431.82,6416013.50,375.74,0.105
747713.37,6415994.00,381.35,0.042
748023.33,6415998.50,383.94,-0.070
748291.02,6416014.00,387.71,-0.001
748605.54,6415993.50,385.00,-0.075
748911.71,6416002.00,385.03,-0.083
749213.30,6416003.00,388.90,-0.106
744709.63,6416110.00,367.40,-0.097
745013.88,6416094.50,367.34,-0.039
745317.91,6416115.00,367.85,-0.036
745913.20,6416101.00,369.88,-0.053
746200.95,6416117.00,369.00,-0.029
746528.11,6416121.50,370.92,-0.063
746812.20,6416113.50,372.82,-0.130
747103.71,6416105.00,373.71,-0.046
747408.28,6416102.00,375.65,0.208
747717.67,6416106.00,382.49,0.254
748015.54,6416118.00,382.16,0.053
748314.04,6416093.00,384.14,-0.051
748625.03,6416099.00,382.08,-0.013
748905.27,6416123.50,383.91,-0.083
749220.67,6416128.00,389.33,-0.017
744711.54,6416202.50,369.78,-0.073
745017.11,6416206.00,370.10,-0.078
745318.95,6416192.00,369.30,-0.044
745627.17,6416206.00,369.98,-0.071
745922.29,6416202.50,369.64,-0.067
746214.62,6416209.50,372.57,-0.027
746510.53,6416202.00,372.97,-0.070
746808.92,6416184.00,370.80,-0.150
747119.33,6416201.50,373.94,-0.040
747404.47,6416199.00,376.03,0.324
747728.43,6416203.50,382.10,0.363
748007.71,6416205.00,381.37,0.188
748301.98,6416199.50,382.81,0.018
748606.68,6416219.00,380.53,0.032
748902.12,6416219.00,382.72,-0.040
749221.47,6416193.00,387.09,-0.039
744716.87,6416303.50,369.39,-0.035
745005.64,6416295.00,369.01,-0.045
745304.77,6416311.00,368.36,-0.046
745912.72,6416290.00,371.07,-0.047
746815.14,6416295.00,372.72,-0.077
747123.50,6416300.50,375.50,-0.026
748009.85,6416293.00,380.80,0.255
748316.71,6416305.00,382.56,0.110
748606.09,6416311.50,378.71,0.092
748913.27,6416286.00,382.05,-0.000
749224.43,6416309.50,386.30,-0.019
744711.54,6416405.50,370.38,-0.053
745025.78,6416402.00,370.38,-0.087
745321.87,6416394.00,370.03,-0.070
745628.84,6416392.50,370.00,-0.058
745915.26,6416413.50,372.20,-0.072
746207.95,6416382.50,372.95,-0.043
746523.70,6416417.00,375.54,-0.017
746827.79,6416418.50,373.59,0.021
747108.91,6416411.50,374.78,-0.035
747396.12,6416384.50,375.50,0.289
747723.26,6416392.00,376.75,0.457
748022.13,6416407.00,380.00,0.307
748327.47,6416408.50,381.93,0.171
748616.70,6416404.50,381.15,0.155
748919.64,6416401.50,381.38,0.043
749233.51,6416410.50,386.57,0.024
744720.75,6416504.00,370.23,-0.073
745010.65,6416495.50,370.24,-0.029
745299.48,6416496.50,370.18,-0.041
745600.53,6416511.50,370.64,-0.039
745916.60,6416490.00,371.55,-0.070
746212.92,6416503.00,375.18,-0.018
746524.47,6416524.00,373.03,0.029
746815.53,6416492.50,373.09,0.101
747132.41,6416496.00,374.91,0.013
747421.00,6416488.00,376.01,0.188
747720.42,6416512.00,377.93,0.254
748014.57,6416504.00,380.00,0.322
748323.45,6416504.50,379.32,0.345
748616.10,6416502.50,379.63,0.279
748907.18,6416475.50,382.00,0.062
749198.54,6416502.50,386.51,0.050
744705.08,6416607.50,369.16,-0.074
745016.82,6416601.00,369.16,-0.040
745332.83,6416611.00,369.95,-0.041
745623.32,6416613.50,369.29,-0.049
745907.47,6416586.50,372.27,-0.054
746223.50,6416588.00,377.95,-0.035
746510.78,6416605.00,374.11,0.069
746810.90,6416608.00,373.37,0.283
747109.39,6416598.50,372.15,0.076
747439.99,6416609.50,376.68,0.081
747737.33,6416595.50,376.98,0.146
748026.72,6416621.00,378.18,0.225
748317.51,6416613.50,379.92,0.402
748909.76,6416629.50,380.86,0.109
749206.34,6416614.50,384.94,0.027
744725.52,6416720.50,369.88,-0.058
745030.04,6416712.00,369.50,-0.052
745301.82,6416698.00,370.33,-0.074
745925.50,6416707.00,375.96,-0.037
746521.38,6416707.00,375.99,0.130
746826.77,6416701.50,376.17,0.372
747120.54,6416712.00,375.23,0.131
747421.66,6416708.50,376.73,0.031
747697.96,6416708.00,378.97,0.052
748010.46,6416701.50,378.00,0.184
748330.72,6416721.00,376.69,0.444
748629.53,6416677.00,380.02,0.400
748916.09,6416705.00,382.91,0.089
749219.95,6416704.50,389.24,0.063
744731.11,6416803.00,371.28,-0.007
745015.20,6416801.00,371.28,-0.047
745318.17,6416800.00,370.06,-0.048
745913.66,6416786.50,378.55,-0.024
746228.65,6416814.50,381.94,0.125
746521.32,6416804.00,378.23,0.243
746820.64,6416817.00,379.04,0.441
747127.12,6416816.00,374.09,0.150
747430.64,6416817.00,377.91,0.072
747743.10,6416793.00,378.97,0.058
748022.32,6416807.00,379.41,0.128
748338.51,6416801.00,379.33,0.435
748617.63,6416804.00,379.38,0.439
748913.41,6416790.00,382.30,0.150
749217.80,6416803.00,385.75,0.063
744727.63,6416907.00,371.73,-0.022
745039.28,6416892.50,371.73,-0.085
745336.67,6416899.50,371.07,-0.030
745632.82,6416891.50,373.12,-0.037
745913.49,6416903.00,380.31,-0.008
746218.09,6416886.50,384.19,0.281
746530.05,6416903.00,379.43,0.459
746816.50,6416916.50,377.52,0.524
747123.16,6416893.00,374.01,0.184
747432.36,6416906.00,377.94,0.143
747725.46,6416926.50,379.83,0.188
748031.79,6416905.50,382.79,0.118
748333.15,6416914.50,379.23,0.344
748613.60,6416918.00,378.51,0.371
748927.96,6416889.50,385.06,0.159
749240.02,6416908.00,386.87,0.064
744721.71,6417014.50,373.99,-0.026
745011.57,6417019.50,373.99,-0.086
745334.77,6416998.50,373.13,-0.018
745614.35,6417005.50,376.00,-0.071
745915.16,6416990.00,381.06,0.030
746230.29,6416993.50,383.24,0.477
746521.43,6417009.50,379.41,0.647
746840.96,6416995.50,378.55,0.580
747135.13,6417007.00,373.10,0.252
747427.00,6417004.00,377.83,0.348
747719.95,6417017.00,379.86,0.334
748021.74,6417000.00,380.90,0.150
748314.48,6416993.50,379.41,0.280
748620.25,6417000.50,381.29,0.296
748939.62,6417000.50,383.47,0.185
749243.17,6417009.00,388.06,0.107
744746.49,6417100.00,375.06,-0.039
745040.45,6417104.50,375.06,-0.026
745329.54,6417109.00,374.95,-0.086
745917.92,6417106.00,382.96,0.028
746237.84,6417099.00,383.49,0.603
746838.75,6417104.00,378.90,0.701
747118.12,6417097.00,373.45,0.401
747714.41,6417083.50,379.22,0.459
748035.16,6417099.00,379.00,0.231
748621.31,6417100.50,381.03,0.264
749240.40,6417105.00,387.22,0.118
744730.86,6417215.50,376.92,-0.032
745035.51,6417201.00,376.92,-0.029
745339.43,6417216.00,377.00,-0.055
745629.04,6417199.50,377.53,-0.027
745927.79,6417206.00,383.21,0.010
746222.90,6417227.00,383.86,0.548
746529.68,6417206.50,380.70,0.866
746834.04,6417193.00,379.23,0.783
747143.93,6417213.00,372.10,0.548
747414.94,6417216.50,374.07,0.636
747744.40,6417183.00,382.98,0.618
748019.46,6417192.50,378.01,0.333
748329.34,6417211.50,381.75,0.242
748610.78,6417202.00,380.03,0.311
748933.46,6417198.50,387.83,0.244
749226.37,6417222.00,389.01,0.191
744718.37,6417303.50,378.12,0.006
745036.40,6417280.00,378.06,-0.037
745323.70,6417320.00,378.87,-0.068
745632.26,6417310.50,380.00,-0.017
745924.86,6417284.00,383.91,-0.020
746245.53,6417314.50,385.78,0.462
746545.22,6417321.00,380.00,0.858
746838.31,6417300.50,380.71,0.805
747132.33,6417314.00,374.04,0.730
747437.06,6417310.00,376.34,0.763
747731.14,6417304.50,380.86,0.751
748049.25,6417310.00,377.96,0.418
748327.59,6417299.00,382.28,0.287
748638.76,6417295.00,381.48,0.390
748936.33,6417314.00,386.81,0.275
749228.92,6417312.50,389.58,0.183
744733.58,6417404.50,383.04,0.015
745036.97,6417411.50,381.33,0.005
745338.50,6417400.50,381.28,-0.048
745643.46,6417401.50,381.76,-0.006
745929.08,6417414.00,385.38,-0.052
746250.89,6417392.00,383.00,0.271
746537.64,6417398.50,381.11,0.767
746831.11,6417400.00,379.70,0.857
747128.58,6417392.00,375.11,0.806
747458.73,6417406.00,375.88,0.897
747712.55,6417412.50,378.15,0.793
748034.97,6417408.50,380.46,0.558
748345.75,6417394.50,380.85,0.312
748633.05,6417412.50,382.25,0.412
748941.11,6417387.50,384.40,0.233
749226.17,6417418.50,386.33,0.217
744749.13,6417523.00,385.40,-0.023
745021.37,6417513.00,385.40,-0.002
745345.53,6417499.00,383.55,0.010
745935.66,6417477.50,384.57,-0.037
746840.87,6417500.50,380.61,0.775
747440.65,6417502.00,375.88,0.850
748036.11,6417500.00,381.10,0.605
748353.57,6417494.50,380.34,0.388
748751.88,6417505.50,382.99,0.258
748926.23,6417512.00,384.16,0.221
749235.82,6417479.00,386.21,0.200
744750.14,6417607.50,388.47,-0.023
745028.33,6417604.50,388.47,-0.036
745341.90,6417595.50,387.15,0.011
745644.86,6417612.50,383.02,-0.007
745957.89,6417611.00,385.06,-0.026
746259.62,6417603.50,385.00,-0.056
746537.15,6417608.00,380.02,0.291
746827.17,6417593.50,381.55,0.653
747143.28,6417596.00,376.86,0.801
747438.47,6417586.50,375.84,0.790
747740.86,6417615.50,377.03,0.644
748032.95,6417601.00,380.64,0.582
748350.17,6417596.50,378.88,0.398
748634.49,6417590.50,380.13,0.273
748941.76,6417604.50,383.52,0.182
749239.51,6417607.50,387.00,0.129
744744.66,6417699.00,392.16,-0.044
745057.12,6417700.50,392.16,-0.007
745348.96,6417701.50,391.85,0.037
745637.34,6417717.50,386.05,-0.009
745936.45,6417713.50,385.55,0.012
746223.62,6417706.50,385.25,-0.025
746540.74,6417694.00,382.88,0.146
746865.05,6417700.00,382.70,0.557
747144.51,6417692.00,375.74,0.684
747432.72,6417708.50,375.69,0.652
747746.60,6417702.50,377.98,0.605
748028.74,6417697.00,379.28,0.565
748338.66,6417708.50,377.97,0.360
748637.96,6417705.00,381.32,0.166
748945.20,6417704.50,381.88,0.110
749233.10,6417712.00,384.80,0.078
744733.75,6417804.00,391.99,-0.027
745022.97,6417790.00,391.99,-0.015
745352.37,6417806.50,392.19,0.011
745650.73,6417784.00,389.83,0.009
745932.80,6417800.00,385.86,0.007
746249.46,6417798.50,387.37,-0.006
746527.90,6417805.00,384.54,0.084
746856.33,6417808.00,382.72,0.344
747144.17,6417796.50,378.00,0.557
747460.25,6417794.50,377.01,0.587
747731.66,6417796.00,377.86,0.539
748044.79,6417796.50,379.83,0.562
748649.32,6417819.50,381.07,0.088
748951.29,6417809.00,381.81,0.082
749232.54,6417790.00,383.28,0.014
744732.66,6417902.50,390.29,-0.023
745045.20,6417910.50,390.32,0.019
745330.22,6417899.00,392.00,-0.003
745650.89,6417898.50,392.92,0.049
745942.48,6417924.50,388.38,0.026
746247.63,6417907.00,386.40,0.045
746540.20,6417904.50,383.93,0.030
746832.56,6417900.50,385.63,0.204
747125.92,6417915.50,380.00,0.323
747444.92,6417890.50,377.15,0.501
747737.98,6417918.50,376.76,0.521
748642.51,6417885.50,382.46,0.113
748929.88,6417898.00,381.81,0.076
749240.62,6417903.50,383.50,0.001
744765.46,6417998.50,391.48,0.001
745056.72,6418024.00,391.48,-0.020
745351.58,6417995.50,392.00,0.019
745649.30,6418006.50,393.56,0.053
745952.00,6417991.00,392.24,0.020
746239.20,6418001.00,387.04,0.029
746555.14,6418004.50,386.78,0.096
746833.67,6418006.00,385.74,0.135
747156.47,6417996.00,380.77,0.220
747434.88,6417988.50,376.46,0.338
747741.38,6417998.00,377.69,0.479
748043.10,6417993.00,379.33,0.505
748345.17,6418012.00,380.46,0.291
748673.58,6418011.00,380.25,0.128
748956.87,6418025.50,380.00,0.039
749252.65,6418005.00,382.32,0.049
744742.30,6418087.50,390.36,-0.020
745067.63,6418094.50,390.74,-0.010
745355.13,6418104.00,392.00,-0.006
745638.20,6418113.50,393.36,0.030
745957.60,6418115.00,393.68,0.044
746255.93,6418081.50,388.73,0.051
746548.50,6418110.00,388.14,0.071
746844.72,6418096.00,387.44,0.082
747142.26,6418110.50,383.38,0.124
747436.52,6418098.50,377.18,0.274
747757.68,6418106.50,377.65,0.343
748052.96,6418114.00,378.97,0.415
748356.84,6418102.00,380.71,0.184
748652.93,6418113.00,379.49,0.133
748938.32,6418110.50,380.85,0.043
749255.03,6418121.00,382.12,0.042
744737.75,6418213.00,391.23,-0.047
745063.92,6418200.00,391.01,-0.034
745350.13,6418185.50,391.14,0.010
745648.34,6418208.50,393.53,0.052
745944.22,6418202.50,394.96,0.075
746253.77,6418198.50,392.47,0.067
746562.05,6418209.50,391.00,0.029
746867.58,6418208.00,389.42,0.042
747157.62,6418203.50,383.33,0.102
747455.75,6418216.00,379.38,0.183
747755.45,6418179.50,378.06,0.280
748048.16,6418205.50,378.83,0.308
748360.71,6418186.00,380.32,0.169
748645.08,6418195.00,380.65,0.154
748938.24,6418206.50,379.51,0.075
749253.76,6418201.00,382.16,0.019
744764.24,6418309.50,391.00,-0.055
745053.46,6418305.00,391.00,-0.075
745341.25,6418304.00,392.17,0.044
745657.01,6418313.50,394.87,0.048
745957.83,6418298.50,395.93,0.031
746266.88,6418298.00,393.13,0.031
746547.01,6418313.50,391.43,0.069
746845.43,6418294.00,388.85,0.022
747172.68,6418306.50,381.10,0.090
747431.30,6418290.50,379.02,0.098
747753.36,6418278.00,378.40,0.227
748063.95,6418301.00,378.69,0.193
748342.33,6418301.50,380.15,0.132
748655.72,6418321.00,380.56,0.146
748965.03,6418305.00,380.03,0.046
749255.30,6418319.00,382.16,-0.031
744743.30,6418422.00,391.68,-0.055
745050.09,6418399.00,391.01,0.023
745356.60,6418412.00,392.62,-0.002
745678.29,6418409.00,395.83,0.018
745951.39,6418407.50,398.23,0.034
746250.47,6418418.00,393.70,0.006
746552.16,6418393.00,391.99,0.033
746852.88,6418401.00,387.75,0.014
747161.75,6418397.50,382.66,0.067
747452.54,6418402.50,380.04,0.067
747772.87,6418406.50,380.88,0.081
748061.11,6418418.50,381.93,0.085
748350.15,6418383.00,379.35,0.083
748676.81,6418410.00,381.62,0.063
748956.88,6418410.50,380.38,0.075
749245.43,6418397.00,383.95,0.016
744776.82,6418516.50,392.04,-0.037
745053.48,6418531.00,392.04,-0.041
745354.68,6418516.00,392.04,0.004
745648.17,6418493.50,395.65,-0.015
745973.23,6418518.50,398.50,0.029
746247.12,6418503.50,393.30,-0.003
746554.63,6418491.50,393.72,0.058
746845.00,6418497.50,388.18,0.046
747181.00,6418507.00,383.14,-0.016
747456.09,6418521.00,379.08,0.070
747756.13,6418507.00,380.12,0.032
748075.58,6418511.00,381.98,0.049
748352.08,6418507.50,381.00,0.053
748665.57,6418501.00,382.00,0.074
748977.01,6418507.50,383.45,0.049
749280.87,6418516.00,385.79,0.026
744766.48,6418618.50,392.92,-0.020
745053.36,6418615.50,392.92,0.003
745344.78,6418605.00,393.97,-0.004
745663.66,6418599.00,395.62,-0.020
745959.12,6418594.00,397.38,0.048
746247.92,6418615.50,394.10,0.039
746565.42,6418593.50,393.02,0.010
746861.67,6418618.50,386.27,-0.035
747169.99,6418625.00,382.30,-0.051
747451.13,6418591.50,380.70,0.006
747752.07,6418626.00,380.29,0.001
748061.05,6418606.50,382.29,0.031
748368.33,6418620.50,381.35,0.033
748656.63,6418619.50,382.93,0.084
748958.42,6418584.00,382.03,0.053
749254.46,6418611.00,384.65,0.063
744763.11,6418700.00,392.92,-0.040
745065.21,6418714.50,392.92,-0.030
745362.18,6418697.00,393.97,0.047
745655.71,6418692.50,395.62,0.034
745968.48,6418709.00,397.38,0.053
746262.78,6418689.50,394.10,0.017
746553.17,6418703.00,392.93,-0.001
746875.07,6418707.00,386.55,0.016
747173.51,6418698.00,382.42,-0.035
747741.78,6418708.50,380.65,-0.033
748081.33,6418708.00,382.12,0.011
748348.74,6418700.00,381.77,0.012
748666.46,6418702.00,383.03,0.029
748958.89,6418726.50,382.97,0.007
749255.62,6418719.00,383.32,0.074
744749.85,6418818.00,392.92,-0.010
745063.16,6418818.00,392.92,0.032
745375.57,6418798.00,393.97,0.015
745670.78,6418802.00,395.62,0.071
745964.29,6418806.00,397.38,0.030
746247.28,6418802.00,394.10,0.022
746858.29,6418780.50,385.76,0.015
747170.42,6418787.00,382.42,-0.043
747465.54,6418790.00,380.83,0.028
747761.00,6418791.50,380.65,0.027
748057.75,6418797.50,382.12,-0.004
748354.33,6418804.50,381.77,0.030
748661.79,6418790.00,383.03,-0.019
748960.18,6418806.50,382.97,-0.006
749262.38,6418804.00,383.32,0.017
744754.17,6418906.00,392.92,-0.026
745071.50,6418891.50,392.92,0.018
745370.49,6418897.00,393.97,-0.008
745664.82,6418904.00,395.62,0.005
745956.37,6418891.00,397.38,0.026
746276.34,6418896.00,394.10,0.039
746578.29,6418905.50,392.93,0.004
746851.85,6418899.50,385.76,0.009
747456.07,6418904.00,380.83,-0.013
747748.50,6418916.50,380.65,0.011
748052.33,6418904.50,382.12,0.028
748359.99,6418919.00,381.77,0.015
748664.96,6418898.50,383.03,0.030
748963.44,6418907.00,382.97,0.019
749281.14,6418920.00,383.32,0.036
744759.36,6418996.50,392.92,-0.016
745087.83,6419008.00,392.92,0.023
745350.24,6419015.50,393.99,0.013
745667.01,6418998.00,395.62,0.016
745952.12,6419006.50,397.38,0.028
746261.80,6418990.50,394.10,0.065
746579.30,6419015.50,392.93,0.042
746869.76,6419020.00,385.76,0.019
747174.57,6419007.00,382.42,-0.030
747470.82,6419013.50,380.83,-0.017
747777.39,6419011.00,380.65,-0.031
748073.62,6418997.00,382.12,-0.006
748381.18,6419003.50,381.77,0.012
748671.15,6419005.00,383.03,-0.014
748978.42,6419003.00,382.97,-0.018
749268.98,6418996.50,383.25,-0.025
744765.62,6419122.00,392.92,0.009
745076.45,6419098.00,392.92,-0.001
745372.80,6419103.00,393.99,-0.023
745682.47,6419090.00,395.62,-0.007
745967.42,6419103.00,397.08,0.034
746272.04,6419118.00,394.10,0.023
746584.03,6419111.50,392.93,0.042
746883.09,6419102.00,385.76,-0.006
747171.11,6419103.00,382.42,0.036
747482.71,6419086.00,380.83,-0.021
747763.93,6419100.50,380.65,0.005
748063.96,6419102.00,382.12,0.000
748353.15,6419108.00,381.77,0.010
748669.61,6419109.00,383.03,-0.014
748960.22,6419102.50,382.97,0.019
749265.69,6419110.00,383.25,0.014
744775.47,6419208.50,392.92,0.032
745050.66,6419196.00,392.92,-0.063
745378.41,6419202.50,393.99,-0.075
745684.28,6419186.50,395.62,0.016
745956.18,6419197.00,397.08,0.027
746270.84,6419196.00,394.10,-0.004
746574.78,6419214.50,392.93,0.032
746868.58,6419198.50,385.76,-0.003
747159.15,6419208.00,382.42,-0.002
747465.69,6419219.50,380.83,-0.021
747779.25,6419207.00,380.65,0.026
748056.18,6419203.50,382.12,0.037
748379.12,6419225.50,381.77,-0.022
748666.29,6419202.50,383.24,-0.015
748956.78,6419211.50,382.97,-0.012
749276.79,6419218.50,383.25,0.023
